Datum	Puncutaliteit
13-01-16	96.00%
14-01-16	92.60%
15-01-16	92.00%
16-01-16	96.80%
17-01-16	95.00%
18-01-16	91.80%
19-01-16	92.70%
20-01-16	96.00%
21-01-16	90.20%
22-01-16	93.20%
23-01-16	96.80%
24-01-16	95.50%
25-01-16	95.60%
26-01-16	94.30%
27-01-16	95.70%
28-01-16	95.00%
29-01-16	95.50%
30-01-16	96.10%
31-01-16	95.30%
01-02-16	96.70%
02-02-16	96.40%
03-02-16	94.00%
04-02-16	94.20%
05-02-16	94.40%
06-02-16	97.30%
07-02-16	96.40%
08-02-16	91.70%
09-02-16	94.80%
10-02-16	96.90%
11-02-16	95.80%
12-02-16	95.50%
13-02-16	94.60%
14-02-16	96.80%
15-02-16	93.60%
16-02-16	93.50%
17-02-16	93.90%
18-02-16	93.60%
19-02-16	93.00%
20-02-16	95.40%
21-02-16	95.20%
22-02-16	95.50%
23-02-16	94.10%
24-02-16	95.20%
25-02-16	91.70%
26-02-16	92.60%
27-02-16	95.80%
28-02-16	nodata
29-02-16	94.90%
01-03-16	95.20%
02-03-16	96.00%
03-03-16	95.80%
04-03-16	93.90%
05-03-16	92.10%
06-03-16	94.90%
07-03-16	95.40%
08-03-16	92.30%
09-03-16	94.50%
10-03-16	95.40%
11-03-16	95.10%
12-03-16	97.00%
13-03-16	94.20%
14-03-16	95.50%
15-03-16	95.70%
16-03-16	96.00%
17-03-16	96.30%
18-03-16	95.20%
19-03-16	96.00%
20-03-16	96.80%
21-03-16	96.60%
22-03-16	88.50%
23-03-16	95.00%
24-03-16	92.80%
25-03-16	94.50%
26-03-16	96.10%
27-03-16	96.00%
28-03-16	96.70%
29-03-16	95.90%
30-03-16	97.00%
31-03-16	95.20%
01-04-16	93.20%
02-04-16	95.30%
03-04-16	94.50%
04-04-16	94.90%
05-04-16	94.90%
06-04-16	94.80%
07-04-16	94.30%
08-04-16	93.80%
09-04-16	97.40%
10-04-16	nodata
11-04-16	95.20%
12-04-16	94.20%
13-04-16	90.00%
14-04-16	92.70%
15-04-16	89.10%
16-04-16	94.20%
17-04-16	95.80%
18-04-16	94.30%
19-04-16	96.00%
20-04-16	94.10%
21-04-16	94.80%
22-04-16	93.90%
23-04-16	94.60%
24-04-16	94.70%
25-04-16	93.10%
26-04-16	96.10%
27-04-16	94.30%
28-04-16	95.30%
29-04-16	95.80%
30-04-16	96.40%
01-05-16	95.50%
02-05-16	95.00%
03-05-16	94.60%
04-05-16	95.10%
05-05-16	94.70%
06-05-16	90.90%
07-05-16	92.10%
08-05-16	92.00%
09-05-16	92.20%
10-05-16	96.00%
11-05-16	93.00%
12-05-16	93.00%
13-05-16	90.70%
14-05-16	92.60%
15-05-16	93.70%
16-05-16	96.00%
17-05-16	97.30%
18-05-16	95.00%
19-05-16	95.30%
20-05-16	93.00%
21-05-16	95.20%
22-05-16	94.50%
23-05-16	95.40%
24-05-16	94.00%
25-05-16	94.50%
26-05-16	92.40%
27-05-16	89.50%
28-05-16	92.00%
29-05-16	90.60%
30-05-16	91.80%
